index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
1385,Washburn Institute of Technology,0.0,1192.0,0.7923,12285.0,0,0,1,0,0,1
1649,Assabet Valley Regional Technical School,0.0,11463.0,0.5098,15976.0,0,0,1,0,0,1
1681,Diman Regional Technical Institute,0.0,5816.0,0.3433,13641.0,0,0,1,0,0,1
1764,Southeastern Technical Institute,0.0,3833.0,0.6604,8688.0,0,0,1,0,0,1
2041,Grand River Technical School,0.0,3723.0,1.0,698.0,0,0,1,0,0,1
2044,Columbia Area Career Center,0.0,14198.0,0.7143,14116.0,0,0,1,0,0,1
2116,Rolla Technical Institute,0.0,4242.0,0.5053,13473.0,0,0,1,0,0,1
2535,Southern Westchester BOCES-Practical Nursing Program,0.0,8081.0,0.2909,23325.0,0,0,1,0,0,1
2852,Akron School of Practical Nursing,0.0,5005.0,0.7705,10802.0,0,0,1,0,0,1
2871,Butler Tech-D Russel Lee Career Center,0.0,12773.0,0.7409,19533.0,0,0,1,0,0,1
2872,Canton City Schools Adult Career and Technical Education,0.0,6644.0,0.6075,14571.0,0,0,1,0,0,1
2920,Hannah E Mullins School of Practical Nursing,0.0,5179.0,1.0,11757.0,0,0,1,0,0,1
2921,Adult and Community Education-Hudson,0.0,1271.0,0.9265,11418.0,0,0,1,0,0,1
3009,Cuyahoga Valley Career Center,0.0,10832.0,1.0,19249.0,0,0,1,0,0,1
4028,Woodrow Wilson Rehabilitation Center,0.0,74228.0,0.5196,22003.0,0,0,1,0,0,1
4127,Monongalia County Technical Education Center,0.0,3725.0,0.8485,8082.0,0,0,1,0,0,1
4153,Wood County School of Practical Nursing,0.0,4728.0,1.0,906.0,0,0,1,0,0,1
4315,Blue Hills Regional Technical School,0.0,2890.0,0.5,19540.0,0,0,1,0,0,1
4383,Moore Norman Technology Center,0.0,1160.0,0.6504,1887.0,0,0,1,0,0,1
4414,Greene County Career and Technology Center,0.0,9975.0,0.9744,12839.0,0,0,1,0,0,1
4488,Oswego County BOCES,0.0,443.0,0.8442,8698.0,0,0,1,0,0,1
4496,Autry Technology Center,0.0,1810.0,0.9224,11055.0,0,0,1,0,0,1
4499,Wilkes-Barre Area Career and Technical Center Practical Nursing,0.0,4813.0,0.59,16012.0,0,0,1,0,0,1
4506,Morris County Vocational School District,0.0,7089.0,0.4304,12324.0,0,0,1,0,0,1
4565,Western Area Career and Technology Center,0.0,1317.0,1.0,9266.0,0,0,1,0,0,1
4630,Upper Cape Cod Regional Technical School,0.0,7993.0,0.3022,20928.0,0,0,1,0,0,1
4667,Eastern Center for Arts and Technology,0.0,1309.0,0.5,15799.0,0,0,1,0,0,1
4692,Virginia Beach City Public Schools School of Practical Nursing,0.0,1983.0,0.625,8514.0,0,0,1,0,0,1
4749,Greater Lowell Technical School,0.0,4582.0,1.0,17021.0,0,0,1,0,0,1
4803,Rensselaer BOCES-Practical Nursing Program,0.0,9541.0,0.625,16009.0,0,0,1,0,0,1
4883,Schuyler Steuben Chemung Tioga Allegany BOCES,0.0,3780.0,0.4676,8697.0,0,0,1,0,0,1
4884,Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,0.0,1915.0,0.5769,14409.0,0,0,1,0,0,1
4886,Central Susquehanna Intermediate Unit LPN Career,0.0,5751.0,0.6081,12816.0,0,0,1,0,0,1
4961,Shawsheen Valley Regional Vocational Technical School,0.0,7449.0,1.0,11757.0,0,0,1,0,0,1
